Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Mario Mandzukic,Juventus,Forward,13,311,3,67,0,13,78,14,57,2,2,2,1,96.375,
Federico Bernardesch..,Juventus,Forward,9,141,2,63,0,6,86,19,54,1,1,2,0,65.025,
Luca Pellegrini,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Juan Jesus,Roma,Defender,11,241,0,100,0,1,89,20,40,5,0,2,0,65.58333333333333,
Aleksandar Kolarov,Roma,Defender,14,765,2,36,0,42,85,18,60,4,1,0,0,160.5,
Héctor Moreno,Roma,Defender,5,103,0,0,0,0,94,18,47,2,0,0,0,31.666666666666664,
Federico Fazio,Roma,Defender,13,359,0,25,0,1,87,20,65,6,0,3,0,98.58333333333334,
Abdullahi Nura,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Bruno Peres,Roma,Defender,9,121,0,0,0,7,89,16,44,3,1,0,0,62.15,
Rick Karsdorp,Roma,Defender,1,20,0,0,0,0,85,18,50,1,0,0,0,8.333333333333334,
Emerson,Roma,Defender,1,5,0,0,0,0,100,14,0,0,0,0,0,2.0,
Kostas Manolas,Roma,Defender,9,195,1,100,0,0,87,20,58,8,2,0,0,82.8,
Leandro Castán,Roma,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Radja Nainggolan,Roma,Midfielder,12,271,2,36,0,24,85,18,56,1,0,4,0,102.3,
Kevin Strootman,Roma,Midfielder,12,63,1,25,0,8,86,15,34,2,0,1,0,84.0,
Lorenzo Pellegrini,Roma,Midfielder,10,236,1,73,0,20,83,17,46,2,1,0,0,89.25,
Daniele De Rossi,Roma,Midfielder,10,69,0,0,0,6,84,20,39,5,1,3,1,80.75,
Cengiz Ünder,Roma,Midfielder,8,73,0,56,0,5,73,18,61,1,0,0,0,53.8,
Maxime Gonalons,Roma,Midfielder,6,105,0,33,0,6,86,18,55,3,1,2,0,55.15,
Alessandro Florenzi,Roma,Midfielder,12,358,1,38,0,13,82,18,44,4,0,0,0,103.8,
Gerson,Roma,Midfielder,10,126,2,50,0,1,88,16,56,1,0,0,0,73.0,
Diego Perotti,Roma,Forward,12,369,3,50,0,22,87,15,58,1,0,0,0,104.6,
Edin Dzeko,Roma,Forward,15,437,8,49,0,25,73,14,49,1,0,1,0,138.0,
Patrik Schick,Roma,Forward,4,21,0,60,0,4,85,13,48,0,0,0,0,27.5,
Gregoire Defrel,Roma,Forward,7,17,0,50,0,4,84,12,24,1,0,1,0,41.45,
Marco Tumminello,Crotone,Forward,4,8,1,80,0,0,76,23,27,0,0,0,0,27.6,
Stephan El Shaarawy,Roma,Forward,13,405,4,50,0,19,85,14,47,1,0,0,0,109.625,
Stefan de Vrij,Lazio,Defender,14,468,3,100,0,2,93,21,51,8,0,2,0,118.1,
Patric,Lazio,Defender,6,30,0,0,0,0,88,19,48,3,0,1,0,39.2,
Jordan Lukaku,Lazio,Defender,11,49,0,100,0,6,80,14,44,1,0,1,0,63.766666666666666,
Dusan Basta,Lazio,Defender,7,32,0,40,0,5,78,17,33,3,0,0,0,44.65,
Wallace,Lazio,Defender,3,4,0,0,0,0,82,22,30,6,0,2,0,28.0,
Bastos,Lazio,Defender,11,301,3,100,0,2,92,19,60,5,0,1,0,100.5,
Stefan Radu,Lazio,Defender,15,236,0,33,0,5,87,16,56,6,0,3,0,107.25,
Luiz Felipe,Lazio,Defender,4,61,0,0,0,0,92,17,50,4,0,0,0,33.333333333333336,
Mauricio,Lazio,Defender,1,0,0,0,0,0,100,9,0,0,0,0,0,2.0,
Adam Marusic,Lazio,Defender,14,203,2,50,0,14,80,15,49,2,0,1,0,108.23333333333333,
Lucas Leiva,Lazio,Midfielder,14,193,0,50,0,9,88,17,46,5,0,3,0,110.9,
Felipe Anderson,Lazio,Midfielder,1,13,0,0,0,1,73,14,43,0,0,0,0,5.9,
Luca Crecco,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Marco Parolo,Lazio,Midfielder,14,142,3,29,0,12,83,17,32,5,0,2,1,120.25,
Luis Alberto,Lazio,Midfielder,15,584,4,41,0,42,80,18,55,1,0,3,0,145.625,
Senad Lulic,Lazio,Midfielder,15,0,1,63,0,16,77,17,41,2,0,2,0,105.25,
